time,speed,gradient
2489.45,23.9,-1.02652
2491.37,23.9,0
2492.22,23.6,-0
2493.08,23.6,0
2494.18,23.6,0
2495.8,23.6,-0.163871
2496.88,23.6,-0
2497.85,23.6,-0
2498.95,23.6,1.467
2500.51,23.6,-0.865395
2502.2,23.6,0
2504.29,23.6,0
2505.38,23.6,0.316636
2508.24,23.6,0
2509.81,23.6,-0
2510.89,23.6,0.305878
2512.86,23.9,0
2514.57,23.9,-0
2516.43,23.9,0.452779
2517.64,23.9,-0
2519.27,23.9,0
2521.02,23.9,0.53581
2522.84,23.9,0
2526.92,23.9,0
2528.14,23.9,-0.0366942
2529.28,23.9,-0
2530.56,23.9,0
2531.82,23.9,-0
2533.13,23.9,-1.45877
2534.44,23.9,0
2535.83,23.9,-1.44895
2537.13,23.9,-0
2540.44,23.9,0.846665
2541.39,23.9,-0
2543.57,21.7,-0.612905
2545.9,21.7,0
2547.55,21.7,-0
2549.31,21.7,-1.42976
2551.52,21.7,0
2552.74,21.7,-0
2553.82,21.7,-0
2554.92,21.7,0
2555.99,21.7,1.51889
2557.07,21.7,0
2558.12,21.7,-0
2559.07,21.7,-1.47939
2560.08,21.7,0
2561.04,21.7,-0
2561.95,21.7,-0
2563.64,21.7,0.581144
2566.7,21.7,0
2568.15,21.7,-0
2569.7,21.7,0
2570.94,21.7,-0
2571.68,21.7,-0
2572.48,22.8,0
2573.39,22.8,-1.23224
2574.35,22.8,0
2575.18,22.8,-1.4737
2575.95,22.8,-0
2576.85,22.8,0
2577.91,22.8,0
2578.95,22.8,1.47584
2579.97,22.8,-0
2581.24,22.8,0
2582.45,22.8,-0
2583.89,22.8,-1.25483
2585.57,22.8,-1.14047
2587.96,22.8,0
2592.89,24.2,0
2594.94,24.2,-0.0545436
2596.4,24.2,-0
2597.34,24.2,-0
2597.5,23.9,-0
2598.97,23.9,0
2600.09,23.9,0.748829
2601.15,23.9,-1.52652
2603.43,23.9,-0.465021
2606.25,23.9,0
2607.79,23.9,-0
2608.77,23.9,-0
2610.68,23.9,-0.0960342
2612.15,23.9,-0
2613.19,23.9,-0
2614.41,23.9,0
2615.73,23.9,-0.358768
2617.54,23.9,0
2620.07,23.9,0
2621.32,23.9,0.521276
2622.89,23.9,0
2624.24,23.9,-0
2626.66,23.9,-0.594286
2627.83,23.9,-0
2629.28,23.9,1.37776
2631.28,23.9,0
2634.31,23.9,0.0721638
2637.65,23.9,-0.136139
2640.26,23.9,-0
2645.9,23.9,-0.0262008
2648.45,23.9,-0.0325088
2651.5,23.9,-1.05007
2655.28,23.9,0
2657.63,23.9,-0
2658.92,23.9,-0.439652
2660.16,23.9,-0
2661.02,23.9,-0
2661.88,23.9,0
2664.39,23.9,0
2666.16,23.9,-0
2667.71,23.9,-0
2668.63,23.9,-0.0394536
2670.25,23.9,0
2671.85,23.9,-0
2672.69,23.9,-0
2673.58,23.9,0
2674.42,23.9,-0.917949
2675.3,23.9,-1.43647
2677.24,23.9,0
2681.81,23.9,0
2683.58,24.4,0.206892
2685.44,24.4,0
2687.24,24.4,-0
2688.95,24.4,1.49429
2690.71,24.4,1.53198
2692.81,24.4,0
2694.68,24.4,-0
2696.49,24.4,1.47903
2698.14,24.4,-1.41935
2700.76,24.4,-0.451662
2703.81,24.4,-0.165149
2707,24.4,0.977794
2712.48,24.4,-0.23238
2718.11,24.4,0
2721.15,24.4,-0.0566321
2722.95,24.4,0.362043
2723.9,24.4,0.506692
2728.62,24.2,0
2731.35,24.2,-0.00626303
2733.09,24.2,-0
2734.58,24.2,-1.35364
2738.49,24.2,0
2741.43,24.2,-0
2743.96,24.2,-0.857735
2745.88,24.2,-0
2748.21,23.1,0
2750.74,23.1,1.45544
2752.92,23.1,-0
2754.46,23.1,1.04569
2756.08,23.1,0
2757.73,23.1,1.50547
2759.42,23.1,0
2761.11,23.1,0
2763.09,23.1,0
2764.59,23.1,-1.1495
2766.24,23.1,-1.4301
2767.8,23.1,-0
2769.47,23.1,1.3773
2771,23.1,-0
2772.68,23.1,0
2774.36,23.1,-1.4289
2776.03,23.1,-0
2777.59,23.1,-0
2779.28,23.1,0
2780.65,23.1,-0.908234
2782.2,23.1,0
2783.77,23.1,0
2785.26,23.1,-0
2786.57,23.1,-0.844154
2787.85,23.1,-0
2789.77,23.1,0
2791.67,23.1,-1.55181
2793.44,23.1,0.658805
2795.29,23.1,0
2803.14,23.1,0.0821844
2804.93,23.1,-0
2806.73,23.1,0
2808.41,23.1,-0.141895
2810.22,23.1,0
2812.08,23.1,0
2813.89,23.1,-1.03709
2815.77,23.1,0
2817.65,23.1,0
2819.51,23.1,-1.51026
2821.13,23.1,-0
2822.98,23.1,0
2824.76,23.1,-1.46014
2826.66,23.1,0
2841.04,23.1,0.0344212
2842.62,23.1,0.0125374
2844.29,23.1,0
2845.77,23.1,-0
2847.33,23.1,1.39904
2848.85,23.1,1.51372
2850.5,23.1,0
2852.04,23.1,-1.46014
2853.73,23.1,0
2856.73,23.1,-0.0828663
2858.53,23.1,-0
2860.38,23.1,0
2862.3,23.1,1.33219
2864.23,23.1,0
2866.07,23.1,-0
2867.84,23.1,-1.45017
2869.71,23.1,0
2871.2,23.1,-0
2872.86,22.8,-1.40485
2874.93,22.8,0
2877.56,22.8,0
2880.01,22.8,-1.08084
2882.03,22.8,-0
2883.74,22.8,-0
2885.7,22.8,0.712799
2887.59,22.8,-0
2889.6,22.8,-0.579078
2891.53,22.8,-0
2893.5,22.8,0
2895.48,22.8,1.40565
2897.96,22.8,0.606
2900.45,22.8,0
2906.04,22.8,0.0212132
2908.04,22.8,-0
2910.18,22.8,0.124353
2912.64,23.6,0
2915.14,23.6,0
2917.37,23.6,0.737815
2919.74,23.6,0
2927.78,23.6,0.0559118
2929.71,23.6,-0
2931.49,23.6,-0
2933.42,23.6,0.588005
2935.25,23.6,-0
2936.85,23.6,-0
2938.54,23.6,1.38016
2940.19,23.6,1.31643
2941.81,23.6,-0
2943.46,23.6,1.48625
2945.21,23.6,0
2946.93,23.6,-0
2948.85,23.6,0
2950.9,23.6,-0.700857
2952.67,23.6,-0
2954.65,23.6,0
2956.6,23.6,-1.55093
2958.52,23.6,1.48851
2960.7,23.6,0
2962.8,23.6,-0
2965.05,23.6,1.32082
2966.97,23.6,1.06795
2968.79,23.6,-0
2971,23.6,0.109451
2973.23,23.6,0
2975.41,23.6,-1.42323
2977.92,23.6,-0.916079
2980.09,23.6,0.710707
2983.93,24.4,-0.0709707
2988.24,25.3,-0.406489
2993.9,25.3,0
